,Ruta,Operador,Tipo de vuelo,Tipo de aeronave,Registro,Total a bordo,Pasajeros a bordo,Personal a bordo,Cantidad de fallecidos,Pasajeros fallecidos,Personal fallecidos,Accidente terrestre,Año,Tasa_Mortalidad_Anual
2378,"Off Taipei, Taiwan",China Airlines (Taiwan),Training,Boeing 707-324C,B-1834,6.0,0.0,6.0,6.0,0.0,6.0,0.0,1979,100.0
2379,"Near Klamath Falls, Oregon",Butler Aviation Inc.,Redmond - Klamath Falls - Medford,Douglas DC-7,N455SW,12.0,10.0,2.0,12.0,10.0,2.0,0.0,1979,100.0
2380,"Near Sarroch,  Italy",Aero Transporti Italiani,Alghero - Cagliari,McDonnell Douglas DC-9-32,I-ATJC,31.0,27.0,4.0,31.0,27.0,4.0,0.0,1979,100.0
2381,"Blink Horn Point, Canada",Pacific Coastal Airlines,:  Comox-Port Hardy,Britten Norman BN-7A lslander,C-FZVV,9.0,8.0,1.0,4.0,8.0,1.0,0.0,1979,44.44444444444444
2382,"Merced, California",Military - U.S. Air Force,Training,Boeing KC-135A,58-0127,5.0,0.0,5.0,5.0,0.0,5.0,0.0,1979,100.0
2383,"Porpoise Bay, British Columbia Canada",West Coast Air,Vancouver - Sechelt,de Havilland Canada DHC-6 Twin Otter 200,C-FWAF,16.0,14.0,2.0,2.0,1.0,1.0,0.0,1979,12.5
2384,"Athens, Greece",Swissair,Zurich - Geneva - Athens - Bombay - Beijing,McDonnell Douglas DC-8-62,HB-IDE,156.0,145.0,11.0,14.0,14.0,0.0,0.0,1979,8.974358974358974
2385,"Covington, Kentucky",Comair,"Covington, KY - Nashville, TN",Piper PA-31,N6642L,8.0,7.0,1.0,8.0,7.0,1.0,0.0,1979,100.0
2386,"Lensk, Russia",Aeroflot,Lensk -	Peleduy,Antonov An-2TP,CCCP-32322,12.0,10.0,2.0,3.0,2.0,1.0,0.0,1979,25.0
2387,"Mexico City, Mexico",Western Airlines,Los Angeles  - Mexico City,McDonnell Douglas DC-10-10,N903WA,88.0,77.0,11.0,72.0,63.0,9.0,1.0,1979,81.81818181818183
2388,"Vologda, Russia",Aeroflot,Positioning,Yakovlev YAK-40,CCCP-87454,5.0,0.0,5.0,3.0,0.0,3.0,0.0,1979,60.0
2389,"Granger, Utah",Transamerica Airlines,"Ogden, UT - Las Vegas, NV",Lockheed L-188CF Electra,N859U,3.0,0.0,3.0,3.0,0.0,3.0,0.0,1979,100.0
2390,"Near At Ta'if, Jeddah, Saudi Arabia",Pakistan International Airlines,Jeddah - Karachi,Boeing B-707-340C,AP-AWZ,156.0,145.0,11.0,156.0,145.0,11.0,0.0,1979,100.0
2391,"Near Mt. Erebus, Ross Ice Shelf, Antarctica",Air New Zealand,Auckland - Christchurch,McDonnell Douglas DC-10-30,ZK-NZP,257.0,237.0,20.0,257.0,237.0,20.0,0.0,1979,100.0
2392,"Cerro Toledo Mountain, Colombia",SATENA,Arauca - Bogota,Douglas DC-4 (C-54),FAC-1106,21.0,16.0,5.0,21.0,16.0,5.0,0.0,1979,100.0
2393,"Near Puerto Esperanza, Peru",Fuerza Aérea del Peru,Pucallpa - Puerto Esperanza,de Havilland Canada DHC-5 Buffalo,FAP-348,29.0,24.0,5.0,29.0,24.0,5.0,0.0,1979,100.0
2394,"Ankara, Turkey",Turkish Airlines (THY),Ankara - Samsun,Fokker F-28 Fellowship 1000,TC-JAT,45.0,41.0,4.0,41.0,38.0,3.0,0.0,1979,91.11111111111111
2395,"Menari, Papua New Guinea",Douglas Airways,Port Morsbey - Maanari,GAF Nomad 22B,P2-DNL,16.0,14.0,2.0,16.0,14.0,2.0,0.0,1979,100.0
2396,Haiti,Haïti Air Inter,Port au Prince - Cape Haitien,Britten Norman BN Islander,HH-CNC,9.0,8.0,1.0,9.0,8.0,1.0,0.0,1980,100.0
2397,Over the Atlantic Ocean,Private charter,Shreveport - Baton Rouge,Cessna 441 Conquest,N442NC,2.0,1.0,1.0,2.0,1.0,1.0,0.0,1980,100.0
2398,"Shungnak, Alaska",Ambler Air Service,"Ambler, AK - Kobuk, AK",Cessna 185A,N1690Z,9.0,8.0,1.0,7.0,6.0,1.0,0.0,1980,77.77777777777779
2399,"Elburz Mtns., near Tehran, Iran",Iran Air,Babol Sar - Tehran,Boeing B-727-86,EP-IRD,128.0,120.0,8.0,128.0,120.0,8.0,0.0,1980,100.0
2400,"Mt. Cemonyet,  Indonesia",Pelita Air Service,Bandung - Jakarta,CASA 212 Aviocar 100,PK-PCX,13.0,10.0,3.0,13.0,10.0,3.0,0.0,1980,100.0
2401,"Baracoa, Cuba",Cubana de Aviacon,Moa - Baracoa,Yakovlev YAK-40,CU-T1219,37.0,33.0,4.0,1.0,1.0,0.0,0.0,1980,2.7027027027027026
2402,"Leeville, Louisiana",Rotor Airs Inc - Air Taxi,"Leeville, LA - Grand Isle, LA",Sikorsky S-62A,N442Y,7.0,6.0,1.0,6.0,6.0,0.0,0.0,1980,85.71428571428571
2403,"Sydney, NSW, Australia",Advance Airlines,Sydney - Tomora,Beechcraft Super King Air 200,VH-AAV,13.0,12.0,1.0,13.0,12.0,1.0,0.0,1980,100.0
2404,"Manila, Philippines",China Airlines (Taiwan),Taipei - Manila,Boeing B-707-309C,B-1826,135.0,124.0,11.0,2.0,2.0,0.0,0.0,1980,1.4814814814814816
2405,"Near Warsaw, Poland",LOT Polish Airlines,New York City - Warsaw,Ilyushin IL-62,SP-LAA,87.0,77.0,10.0,87.0,77.0,10.0,0.0,1980,100.0
2406,"Near Yenice, Turkey",Military - U.S. Air Force,Training,Lockheed C-130H,74-2064,18.0,12.0,6.0,18.0,12.0,6.0,0.0,1980,100.0
2407,"Houston, Texas",Eagle Commuter,Houston - Brownwood,Piper PA-28-180,N55932,10.0,8.0,2.0,7.0,5.0,2.0,0.0,1980,70.0
2408,"Florianopolis, Brazil",Transbrasil,Sao Paulo - Florianopolis,Boeing B-727-27C,PT-TYS,58.0,50.0,8.0,55.0,47.0,8.0,0.0,1980,94.82758620689656
2409,"Krasnoyarsk, Russia",Aeroflot,Krasnoyarsk - Yeniseisk,Antonov An-24B,CCCP-47732,53.0,49.0,4.0,2.0,2.0,0.0,0.0,1980,3.7735849056603774
2410,"Tenerife, Canary Islands",Dan Air Services,Manchester - Tenerife,Boeing B-727-64,G-BDAN,146.0,138.0,8.0,146.0,138.0,8.0,0.0,1980,100.0
2411,"Don Muang, Thailand",Thai Airways,Khon Kaen - Bangkok,Hawker Siddeley HS-748-2,HS-THB,53.0,49.0,4.0,44.0,40.0,4.0,0.0,1980,83.01886792452831
2412,"Near Yachiba, Bolivia",Lloyd Aereo Boliviano,Cochabamba-Yacuiba,Fairchild F-27J,CP-1117,13.0,10.0,3.0,13.0,10.0,3.0,0.0,1980,100.0
2413,"Near Matala, Angola",Lineas Aereas de Angola,Jamba-Lubango,Yakovlev YAK-40,D2-TYC,29.0,25.0,4.0,29.0,25.0,4.0,0.0,1980,100.0
2414,"Near Dushanbe, Russia",Aeroflot,Leningrad - Dushanbe,Yakovlev YAK-40,CCCP-87689,29.0,25.0,4.0,29.0,25.0,4.0,0.0,1980,100.0
2415,"Valley, Nebraska",Air Wisconsin,"Appleton, WI - Minneapolis, MN, - Lincoln, NE",Swearingen 226TC Metro II,N6505,15.0,13.0,2.0,13.0,11.0,2.0,0.0,1980,86.66666666666667
2416,"Tyrrhenian Sea,  off Ustica, Italy",Itavia,Bologna - Palermo,McDonnell Douglas DC-9-15,I-TIGI,81.0,77.0,4.0,81.0,77.0,4.0,0.0,1980,100.0
2417,"Near Alma-Ata, Kazakhstan, USSR",Aeroflot,Alma Ata - Simferopol,Tupolev TU-154B,CCCP-85355,166.0,156.0,10.0,166.0,156.0,10.0,0.0,1980,100.0
2418,"Cerro Lilio, Mexico",Aeronaves del Peru,"Lima, Peu - Mexico City, Mexico",Douglas DC-8-43F,OB-R-1143,7.0,0.0,7.0,3.0,0.0,3.0,0.0,1980,42.857142857142854
2419,"Houma, Louisiana",Air Logistics,Oil Platform SS-224 - Houma LA,Bell 205A-1 helicopter,N95AL,13.0,12.0,1.0,13.0,12.0,1.0,0.0,1980,100.0
2420,"Nouadhibou, Mauretania",Tarom,Bucurest  - Nouadhibou,Tupolev TU-154B-1,YR-TPH,168.0,152.0,16.0,1.0,1.0,0.0,0.0,1980,0.5952380952380952
2421,"Riyadh, Saudi Arabia",Saudi Arabian Airlines,Riyadh - Jeddah,Lockheed 1011-200 TriStar,HZ-AHK,301.0,287.0,14.0,301.0,287.0,14.0,0.0,1980,100.0
2422,"Near Jakarta, Indonesia",Bouraq Indonesia Airlines,Banjarmasin-Sjamsudin Noor  -  Jakarta,Vickers Viscount 812,PK-IVS,37.0,31.0,6.0,37.0,31.0,6.0,0.0,1980,100.0
2423,"Puerto Olaya, Colombia",Aeronorte Colombia,Barranquilla - Bogota,Douglas C-47,HK-329,3.0,0.0,3.0,3.0,0.0,3.0,0.0,1980,100.0
2424,"Off Freeport, Bahamas",Florida Commuter Airlines,West Palm Beach - Freeport Grand Bahama Islands,Douglas DC-3,N75KW,34.0,30.0,4.0,34.0,30.0,4.0,0.0,1980,100.0
2425,"Kindu, Zaire",Military - Force Aérienne Zaïroise,Kindu-Kinshasa,Lockheed Hercules C-130,9T-TCE,36.0,31.0,5.0,36.0,31.0,5.0,0.0,1980,100.0
2426,"Near Cairo, Egypt",Military - U.S. Air Force,Ramstein AB - Cairo,Lockheed C-141A,67-0030,13.0,7.0,6.0,13.0,7.0,6.0,0.0,1980,100.0
2427,"Seoul, South Korea",Korean Airlines,Los Angeles-Anchorage-Séoul,Boeing B-747-2B5B,HL-7445,226.0,212.0,14.0,15.0,9.0,6.0,0.0,1980,6.637168141592921
2428,"Near Medellin, Colombia",F.R. de la Direccion General de Ados,Bogota-Medellin,Douglas C-47A-35-DL,HK-1221G,20.0,3.0,17.0,20.0,3.0,17.0,0.0,1980,100.0
2429,"Dar es Salaam, Tanzania",Tanzania Aviation,Dodoma - Dar es Salaam,Piper PA-42 Cheyenne,5H-TAL,10.0,9.0,1.0,10.0,9.0,1.0,0.0,1980,100.0
2430,"Near Rio Hacha, Colombia",Transportes Aereos del Caribe,Rio Hacha - Medellin,Aerospatiale Caravelle 6R,HK-1810,70.0,63.0,7.0,70.0,63.0,7.0,0.0,1980,100.0
2431,"Qatar, Qatar",Saudi Arabian Airlines,Dhahran - Karachi,Lockheed L-1011-200,HZ-AHJ,291.0,271.0,20.0,2.0,2.0,0.0,0.0,1980,0.6872852233676976
2432,"Ramstein AFB, West Germany",Military - U.S. Air Force,"Ramstein AFB - Oslo, Norway",Lockheed C-130E Hercules,69-6581,11.0,2.0,7.0,11.0,2.0,7.0,0.0,1981,100.0
2433,"Spokane, Washington",Cascade Airways,Moses Lake - Spokane,Beechcraft 99A,N390CA,9.0,7.0,2.0,7.0,5.0,2.0,0.0,1981,77.77777777777779
2434,"Near Leningrad, Russia",Military - Soviet Navy,Leningrad-Vladivostok,Tupolev TU-104A,CCCP-42332,52.0,46.0,6.0,52.0,46.0,6.0,0.0,1981,100.0
2435,"White Plains, New York",Private - Corporate,"White Plains, NY - Toronto, Canada - White Plains, NY",Lockheed 1339,N520S,8.0,6.0,2.0,8.0,6.0,2.0,0.0,1981,100.0
2436,"Avalon, California",Helicopter - Air Taxi,"San Pedro, CA - Avalon, CA",Sikorsky S-62A,N324Y,8.0,7.0,1.0,2.0,2.0,0.0,0.0,1981,25.0
2437,"Belem, Brazil",VOTEC,Tucurui - Belem,Embraer 110P Bandeirante,PT-GLB,14.0,12.0,2.0,11.0,9.0,2.0,0.0,1981,78.57142857142857
2438,Off Tabones Island  Philippines,Military - U.S. Air Force,Training,Lockheed MC-130E-Y,64-0564,24.0,15.0,9.0,23.0,15.0,8.0,0.0,1981,95.83333333333334
2439,"Moroni, Comoro Islands",Military - French Naval Aviation,Moroni-Saint-Denis de la Réunion,Dassault-Breguet Atlantique,29,18.0,14.0,4.0,18.0,14.0,4.0,0.0,1981,100.0
2440,"Redzikowo, Poland",LOT Polish Airlines,Varsovie-Slupsk,Antonov AN-24B,SP-LTU,52.0,47.0,5.0,1.0,1.0,0.0,0.0,1981,1.9230769230769231
2441,"Cincinnati, Ohio",Freedom International,Cincinnati - Detroit,Learjet 23,N400PG,2.0,0.0,2.0,1.0,0.0,1.0,0.0,1981,50.0
2442,"Loveland, Colorado",Air US / Private,"Denver, CO - Gillette, WY",Hadley Page 137Jetstream I / Cessna 206,N11360 / N4862F,19.0,15.0,4.0,15.0,12.0,3.0,0.0,1981,78.94736842105263
2443,"Pekanbaru, Indonesia",Private - Airfast Indonesia,Singapour-Pekanbaru,Douglas C-47A-5-DK,PK-OBK,17.0,13.0,4.0,15.0,11.0,4.0,0.0,1981,88.23529411764706
2444,"Batagay, Russia",Aeroflot,Batagay - 	Lazo,Antonov An-2TP,CCCP-92864,12.0,10.0,2.0,12.0,10.0,2.0,0.0,1981,100.0
2445,"Near Fredrick, Maryland",Military - U.S. Air Force,Training,Boeing EC-135N,61-0328,21.0,3.0,18.0,21.0,3.0,18.0,0.0,1981,100.0
2446,"Rio de la Plata, Argentina",Austral Lineas Aeras (Argentina),Tucuman - Buenos Aires,BAC One-Eleven 529FR,LV-LOX,31.0,26.0,5.0,31.0,26.0,5.0,0.0,1981,100.0
2447,"Pinarete Mountain, Mexico",Lineas Aereas,Puerto Escondido-Oaxaca,Convair CV-440-11,XA-KEH,24.0,21.0,3.0,24.0,21.0,3.0,0.0,1981,100.0
2448,"Near Zumba, Ecuador",TAME,Quito-Macara,de Havilland Canada DHC-6 Twin Otter 300,HC-BAX,18.0,15.0,3.0,18.0,15.0,3.0,0.0,1981,100.0
2449,"Ust-Barguzin, Russia",Aeroflot,Ulan - Severomuysk,Ilyushin Il-14,CCCP-41838,48.0,44.0,4.0,48.0,44.0,4.0,0.0,1981,100.0
2450,"Nailstone, England",Dan Air Services,London - East Midlands,Hawker Siddeley HS-748,G-ASPL,3.0,0.0,3.0,3.0,0.0,3.0,0.0,1981,100.0
2451,"Near Yerevan, Armenia",TAR,"Tehran, Iran - Larnaca, Cyprus",Canadair CL-44D4-6,LV-JTN,4.0,1.0,3.0,4.0,1.0,3.0,0.0,1981,100.0
2452,"Mogadishu, Somalia",Somali Airlines,Mogadishu- Hargeisa,Fokker F-27 Friendship 600RF,6O-SAY,50.0,44.0,6.0,50.0,44.0,6.0,0.0,1981,100.0
2453,Madagascar,Air Madagascar,Toamasina-Andapa,de Havilland Canada DHC-6 Twin Otter 300,5R-MGB,19.0,17.0,2.0,19.0,17.0,2.0,0.0,1981,100.0
2454,"Chihuahua, Mexico",Aeromexico,Monterey - Chihuahua,McDonnell Douglas DC-9-32,XA-DEN,66.0,60.0,6.0,32.0,30.0,2.0,0.0,1981,48.484848484848484
2455,"Near Sanyi, Miao-li, Taiwan",Far Eastern Air Transport,Taipei - Kaohsiung,Boeing B-737-222,B-2603,110.0,104.0,6.0,110.0,104.0,6.0,0.0,1981,100.0
2456,"Near Zavitinsk, Russia",Aeroflot / Military - Russian Air Force,Komsomol'sk-na-Amure - Blagoveshchensk,Antonov AN-24RV / Soviet Air Force TU-16,CCCP-46653,32.0,27.0,5.0,31.0,26.0,5.0,0.0,1981,96.875
2457,"Mt. Elena, Colombia",Aeropesca Colombia,Florence - Neiva,Vickers Viscount 745D,HK-1320,50.0,44.0,6.0,50.0,44.0,6.0,0.0,1981,100.0
2458,"Zeya, Russia",Aeroflot,Chita - Zeya,Yakovlev YAK-40,CCCP-87346,34.0,29.0,5.0,3.0,1.0,2.0,0.0,1981,8.823529411764707
2459,"Paipa, Colombia",Aereo el Venado,Paipa - Cartagena,Embraer 110P1 Bandeirante,HK-2651,22.0,19.0,3.0,21.0,18.0,3.0,0.0,1981,95.45454545454545
2460,"Zeleznogorsk, Russian",Aeroflot /Military - Russian,Irkutsk - Zeleznogorsk,Yakovlev YAK-40 / Mil Mi-8,CCCP-87455,40.0,29.0,11.0,40.0,29.0,11.0,0.0,1981,100.0
2461,"Nellis AFB, Nevada",Military - U.S. Air Force,"Fort Lewis, WA - Indian springs, NV",Lockheed C-130H Hercules,74-1672,70.0,61.0,9.0,7.0,7.0,0.0,0.0,1981,10.0
2462,"Tehran, Iran",Military - Iranian Air Force,Ahwaz - Tehran,Lockheed C-130H,5-158-8552,80.0,75.0,5.0,60.0,75.0,5.0,20.0,1981,75.0
2463,"Casper, Wyoming",Sky Train Air,"Casper, WY - McAllen, TX",Learjet 24,N44CJ,3.0,1.0,2.0,3.0,1.0,2.0,0.0,1981,100.0
2464,"Moerdijk, Netherlands",NLM (Nederlandse Luchtvaart Maatschappij),Rotterdam - Eindhoven - Hamburgh,Fokker F-28 Fellowship 4000,PH-CHI,17.0,13.0,4.0,17.0,13.0,4.0,0.0,1981,100.0
2465,"St. Thomas, U.S. Virgin Islands",Aerolineas Argo,Saint Croix - Saint Thomas,Lockheed L-749A Constellation,HI-328,5.0,2.0,3.0,5.0,2.0,3.0,0.0,1981,100.0
2466,"Sierra de Guerro, Mexico",Aeromexico,Acapulco - Guadalajara,McDonnell Douglas DC-9-32,XA-DEO,18.0,12.0,6.0,18.0,12.0,6.0,0.0,1981,100.0
2467,"Norilsk, Russia",Aeroflot,Krasnoyarsk - Norilsk,Tupolev TU-154B-2,CCCP-85480,167.0,160.0,7.0,99.0,95.0,4.0,0.0,1981,59.2814371257485
2468,"Biratnagar, Nepal",Royal Nepal Airlines,Biratnagar-Katmandou,Pilatus PC-6/B2-H2 Turbo-Porter,9N-ABJ,10.0,9.0,1.0,10.0,9.0,1.0,0.0,1981,100.0
2469,"Castries, Saint Lucia Island",Guyana Airways,Castries-Miami,Douglas DC-6A,N3486F,3.0,0.0,3.0,3.0,0.0,3.0,0.0,1981,100.0
2470,"Mt. San Pietro, near Ajaccio, Corsica, France",Inex Adria Aviopromet (Yugoslavia),Ljubljana - Ajaccio,McDonnell Douglas MD-81,YU-ANA,180.0,173.0,7.0,180.0,173.0,7.0,0.0,1981,100.0
2471,"Honolulu, Hawaii",Private - Parajump air show,"Haliive, HI  - Honolulu, HI",Beech C-45H,N8185H,12.0,11.0,1.0,11.0,10.0,1.0,0.0,1981,91.66666666666666
2472,"Near Covenas, Colombia",ACES Colombia,Medellin-Monteria-Covenas,de Havilland Canada DHC-6 Twin Otter 300,HK-2217,13.0,11.0,2.0,13.0,11.0,2.0,0.0,1981,100.0
2473,"Near Gelendzhik, USSR",Aeroflot,Novorossiysk - Sukhumi,LET  410M Turbojet,CCCP-67290,18.0,16.0,2.0,18.0,16.0,2.0,0.0,1982,100.0
2474,"Washington, D.C.",Air Florida,"Washington D.C. - Fort Lauderdale, FL",Boeing B-737-222,N62AF,79.0,74.0,5.0,74.0,70.0,4.0,4.0,1982,93.67088607594937
2475,"Logan Airport,  Boston, Massachusetts",World Airways,Newark - Boston,McDonnell Douglas DC-10-30CF,N113WA,212.0,200.0,12.0,2.0,2.0,0.0,0.0,1982,0.9433962264150944
2476,"Constanta, Romania",Tarom,Training,Antonov An-24RV,YR-BMD,7.0,0.0,7.0,7.0,0.0,7.0,0.0,1982,100.0
2477,"Djibouti, Djbouti",Military - French Air Force,Training,Nord 2501 Noratlas,140/88JA,35.0,30.0,5.0,35.0,30.0,5.0,0.0,1982,100.0
2478,"Mt. Ipao, Philippines",Trans Air Services,Manila - Sicogon,Douglas DC-3 (C-47A-70-DL),RP-C141,32.0,29.0,3.0,3.0,1.0,2.0,0.0,1982,9.375
2479,"Tokyo, Japan",Japan Air Lines,Fukuoka - Tokyo,McDonnell Douglas DC-8-61,JA-8061,174.0,166.0,8.0,24.0,24.0,0.0,0.0,1982,13.793103448275861
2480,"Providence, Rhode Island",Pilgrim Airlines,New York City - Bridgeport - New Haven - Groton - Boston,de Havilland DHC -6-100,N127PM,12.0,10.0,2.0,1.0,1.0,0.0,0.0,1982,8.333333333333332
2481,"Mehamn, Norway",Wideroe's Flyveselksap,Berlevag - Mehamn,de Havilland Canada DHC-6 Twin Otter 300,LN-BNK,15.0,13.0,2.0,15.0,13.0,2.0,0.0,1982,100.0
2482,"Near Woodstock, Illinois",Military - U.S. Air Force,Sawyer-Chicago,Boeing KC-135C,58-0031,27.0,23.0,4.0,27.0,23.0,4.0,0.0,1982,100.0
2483,"Branti Airport, Indonesia",Garuda Indonesia Airlines,Bogota-Saravena,Fokker F-28 Fellowship 1000,PK-GVK,27.0,23.0,4.0,27.0,23.0,4.0,0.0,1982,100.0
2484,"Queate, Colombia",Aeropesca Colombia,Villavicencio - Bogota,Vickers Viscount 745D,HK-2382,21.0,15.0,6.0,21.0,15.0,6.0,0.0,1982,100.0
2485,"Near Tanana, Alaska",Air Taxi - Tundra Copters,Banddanack - Fairbanks,Hughes 369D,N11058,3.0,2.0,1.0,3.0,2.0,1.0,0.0,1982,100.0
2486,"Near Erzurum, Turkey",Military - U.S. Air Force,Erzurum - Incirlik,Lockheed C-130H,74-1678,27.0,19.0,8.0,27.0,19.0,8.0,0.0,1982,100.0
2487,"Near Yangshuo, Guangxi, China",CAAC,Guangzhou - Guilin,Hawker Siddeley Trident 2E,B-266,112.0,104.0,8.0,112.0,104.0,8.0,0.0,1982,100.0
2488,"Off Aden, Yemen",Alyemda,Mukalla - Aden,de Havilland Canada DHC-7-103,7O-ACK,49.0,45.0,4.0,47.0,45.0,2.0,0.0,1982,95.91836734693877
2489,"Judsonia, Arkansas",Military - U.S. Air Force,Training,Lockheed C-130E Hercules,64-0543,7.0,0.0,7.0,7.0,0.0,7.0,0.0,1982,100.0
2490,"Brazilia, Brazil",VASP,Sao Paulo - Brasilia,Boeing B-737-200,PP-SMY,118.0,112.0,6.0,2.0,2.0,0.0,0.0,1982,1.694915254237288
2491,"Near Songnam-si, South Korea",Military - Republic of South Korea Air Force,Training,Fairchild C-123,56-4391,53.0,49.0,4.0,53.0,49.0,4.0,0.0,1982,100.0
2492,"Near Pacatuba, Brazil",VASP,Rio de Janerio - Fortaleza,Boeing B-727-212A,PP-SRK,137.0,128.0,9.0,137.0,128.0,9.0,0.0,1982,100.0
2493,"Tabatinga, Brazil",TABA,Eirunepe - Tabatinga,Fairchild-Hiller FH-227B-LCD,PT-LBV,44.0,40.0,4.0,44.0,40.0,4.0,0.0,1982,100.0
2494,"Bombay, India",Air India,Kuala Lumpur - Mumbai,Boeing B-707-437,VT-DJJ,111.0,99.0,12.0,17.0,15.0,2.0,0.0,1982,15.315315315315313
2495,"Mount Galunggung, Indonesia",British Airways,Kuala Lampur - Perth,Boeing B-747,G-BDXH,257.0,247.0,10.0,0.0,0.0,0.0,0.0,1982,0.0
2496,"Southern Belarus, USSR",Aeroflot,Leningrad - Kiev,Yakovlev YAK-42,CCCP-42529,132.0,124.0,8.0,132.0,124.0,8.0,0.0,1982,100.0
2497,"Near Moscow, Russia",Aeroflot,Moscow - 	Dakar,Ilyushin IL-62M,CCCP-86513,90.0,80.0,10.0,90.0,80.0,10.0,0.0,1982,100.0
2498,"Kenner, Louisiana",Pan American World Airways,New Orleans - Las Vegas,Boeing B-727-235,N4737,145.0,138.0,7.0,145.0,138.0,7.0,8.0,1982,100.0
2499,"Jolo, Philippines",Philippine Air Lines,Jolo-Kota Kinabalu,Hawker Siddeley HS-748-209 Srs. 2,RP-C1014,30.0,25.0,5.0,4.0,3.0,1.0,0.0,1982,13.333333333333334
2500,"Castaic, California",Western Helicopter,Movie set,Bell UH-1B Huey Helicopter,N87701,1.0,0.0,1.0,0.0,0.0,0.0,3.0,1982,0.0
2501,Pacific Ocean,Pan American World Airways,Tokyo - Honolulu,Boeing B-747-121,N754PA,285.0,270.0,25.0,1.0,1.0,0.0,0.0,1982,0.3508771929824561
2502,"Near Managua, Nicaragua",Military - Nicaraguan Air Force,Managua - El Rodeo,Arava 201,223,20.0,18.0,2.0,20.0,18.0,2.0,0.0,1982,100.0
2503,"Sukhumi, Georgia, USSR",Aeroflot / Aeroflot,Sukhumi - Kutaisi,Let 410UVP Turbojet / Tupolev TU-134V,67191 / 65836,11.0,9.0,2.0,11.0,9.0,2.0,0.0,1982,100.0
2504,"Near Valladolid, Ecuador",Aerolineas Condor,Zumba - Loja,de Havilland Canada DHC-4A Caribou,HC-BHZ,44.0,41.0,3.0,44.0,41.0,3.0,0.0,1982,100.0
2505,"Rio Branco, Brazil",Cia Brasiliera de Tratores,Porto Velho - Rio Branco,Gates Learjet 25B,PT-JBQ,10.0,8.0,2.0,10.0,8.0,2.0,0.0,1982,100.0
2506,"Near Malaga, Spain",Spantax,Malaga - New York City,McDonnell Douglas DC-10-30CF,EC-DEG,394.0,381.0,13.0,50.0,47.0,3.0,0.0,1982,12.690355329949238
2507,"Quetame, Colombia",Aerolineas Centrales de Colombia,San Jose del Guaviare - Bogotá,de Havilland Canada DHC-6 Twin Otter 310,HK-2536,22.0,20.0,2.0,22.0,20.0,2.0,0.0,1982,100.0
2508,"Near Pueblo, Colorado",Pioneer Airlines,"Sante Fe, NM - Pueblo, CO",Swearingen SA.227AC Metro III,N30093,2.0,0.0,2.0,2.0,0.0,2.0,0.0,1982,100.0
2509,"La Serena, Chile",Aeronor Chile,Santiago - La Serena,Fairchild F-27J,CC-CJE,46.0,42.0,4.0,46.0,42.0,4.0,0.0,1982,100.0
2510,"Rostov-on-Don, Russia",Aeroflot,Rostov-on-Don - Krasnovodsk,Antonov AN-26,CCCP-26627,16.0,0.0,16.0,16.0,0.0,16.0,0.0,1982,100.0
2511,"Guangzhou, China",CAAC,Changsha-Canton,Ilyushin IL-18B,B-202,69.0,58.0,11.0,25.0,25.0,0.0,0.0,1982,36.231884057971016
2512,"Brainerd, Minnesota",46826/109,Minneapolis-St Paul - Brainerd,Convair 580-11A,N844H,33.0,30.0,3.0,1.0,1.0,0.0,0.0,1983,3.0303030303030303
2513,"Detroit, Michigan",United Air Lines,Detroit - Los Angeles,McDonnell Douglas DC-8-54F37,N8053U,3.0,0.0,3.0,3.0,0.0,3.0,0.0,1983,100.0
2514,"Ankara, Turkey",Turkish Airlines (THY),Paris-Tripoli-Istanbul-Ankara,Boeing B-727-2F2,TC-JBR,67.0,60.0,7.0,47.0,47.0,0.0,0.0,1983,70.1492537313433
2515,"Near Shach Goan, Afghanistan",Bakhtar Afghan Airlines,Uruzgan-Kaboul,de Havilland Canada DHC-6 Twin Otter 300,YA-GAZ,19.0,17.0,2.0,19.0,17.0,2.0,0.0,1983,100.0
2516,Barquisimeto Venezuela,Avensa,Caracas - Barquisimeto,McDonnell Douglas DC-9-32,YV-67C,50.0,45.0,5.0,23.0,22.0,1.0,0.0,1983,46.0
2517,"Newark, New Jersey",Central Airlines,Chicago - Newark,Learjet 25,N51CA,2.0,0.0,2.0,2.0,0.0,2.0,0.0,1983,100.0
2518,"Selawik, Alaska",Munz Northern Airlines,Nome - Ambler,Britten-Norman BN-2A-8 Islander,N37MN,3.0,2.0,1.0,2.0,1.0,1.0,0.0,1983,66.66666666666666
2519,"Near Khartoum, Sudan",Air Liberia,Khartoum-Monrovia,Hawker Siddeley HS-748-329 Srs. 2A,EL-AIH,9.0,6.0,3.0,8.0,5.0,3.0,9.0,1983,88.88888888888889
2520,"Leninakan, Russia",Aeroflot,Nalchik - Leninakan,Yakovlev YAK-40,CCCP-87291,21.0,17.0,4.0,21.0,17.0,4.0,0.0,1983,100.0
2521,"Iwakuni AB, Japan",Military - Japan Maritime Self Defense Force,Training,Shin Meiwa PS-1,5801,14.0,0.0,14.0,11.0,0.0,11.0,0.0,1983,78.57142857142857
2522,"Guayaquil, Ecuador",SAN Ecuador,Guayaquil - Quito,Sud Aviation SE-210 Caravelle VIR,HC-BAT,100.0,94.0,6.0,8.0,7.0,1.0,0.0,1983,8.0
